"2022-08-25 03:24:52am "," update "," UPDATE product_details SET `image` = 'blog-thumbnail-03.jpg|pr-thumbnail-01.jpg|pr-thumbnail-02.jpg|single-header__bg.jpg' WHERE 1=1  and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/6"
"2022-08-25 03:32:46am "," update "," UPDATE product_details SET `product_name` = 'Dell Inspiron 3525 Laptop- (Duplicate)', `product_code` = '3525', `short_code` = 'dell-inspiron-3525-laptop-duplicate', `short_description` = 'AMD Athlon Silver 3050U, Win 11 + MSO'21, 8GB GDDR4, 256Gb SSD, Radeon Graphics, 15.6"" (39.62Cms) HD Anti-Glare (D560766Win9Be, 1.68Kgs)', `description` = '<ul style='box-sizing: border-box; margin: 0px 0px 0px 18px; color: rgb(15, 17, 17); padding: 0px; font-family: ""Amazon Ember"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;'><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Processor: AMD Athlon Silver 3050U (2.30 GHz up to 3.20 GHz)</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">RAM &amp; Storage: 8GB DDR4 (2 DIMM Slots) &amp; 256GB SSD</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Display: 15.6"" HD AG Narrow Border</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Software: Win 11 + Office H&amp;S 2021</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Ports: 2 USB 3.2 Gen 1 ports, 1 USB 2.0 port, 1 Headset jack, 1 HDMI 1.4 port*, 1 SD 3.0 card slot</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">WiFi &amp; BT: 802.11ac 1x1 WiFi and Bluetooth</span></li></ul>', `brand_id` = '1', `category_id` = '1', `child_category` = '', `vendor_id` = '1', `mrp_price` = '46236', `discount` = '32', `net_price` = '37099.2', `tax` = '18', `qty` = '', `gst_amt` = 6677.856, `discount_amt` = '32'_amt, `cover_img` = 'cover_image.jpg', `stock` = '40', `meta_title` = 'Dell Inspiron', `meta_keyword` = 'Dell Inspiron', `meta_description` = 'Dell Inspiron', `modified_by` = '1', `modified` = '2022-08-25 03:32:46', `is_active` = 1 WHERE 1=1  and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/6"
"2022-08-25 03:32:46am "," update "," UPDATE product_details SET `image` = 'blog-thumbnail-03.jpg|pr-thumbnail-01.jpg|pr-thumbnail-02.jpg|single-header__bg.jpg' WHERE 1=1  and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/6"
"2022-08-25 03:33:25am "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `vendor_id`, `brand_id`, `category_id`, `child_category`, `qty`, `element_id`, `attributes_id`, `mrp_price`, `discount`, `discount_amt`, `net_price`, `tax`, `tag`, `gst_amt`, `image`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `created_by`, `created`, `is_active`, `stock`) VALUES('Dell Inspiron 3525 Laptop- (Duplicate)', '3525', 'dell-inspiron-3525-laptop', 'AMD Athlon Silver 3050U, Win 11 + MSO'21, 8GB GDDR4, 256Gb SSD, Radeon Graphics, 15.6"" (39.62Cms) HD Anti-Glare (D560766Win9Be, 1.68Kgs)', '<ul style='box-sizing: border-box; margin: 0px 0px 0px 18px; color: rgb(15, 17, 17); padding: 0px; font-family: ""Amazon Ember"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;'><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Processor: AMD Athlon Silver 3050U (2.30 GHz up to 3.20 GHz)</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">RAM &amp; Storage: 8GB DDR4 (2 DIMM Slots) &amp; 256GB SSD</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Display: 15.6"" HD AG Narrow Border</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Software: Win 11 + Office H&amp;S 2021</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Ports: 2 USB 3.2 Gen 1 ports, 1 USB 2.0 port, 1 Headset jack, 1 HDMI 1.4 port*, 1 SD 3.0 card slot</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">WiFi &amp; BT: 802.11ac 1x1 WiFi and Bluetooth</span></li></ul>', '1', '1', '1', '0', '', NULL, NULL, '46236', '32', '32'_amt, '37099.2', '18', NULL, '6677.86', '51PJUEVjLqL._SX679_.jpg|61IjsbYEu7L._SX679_.jpg|61IYtAceS1L._SX679_.jpg', '1', '0', '0', 'Dell Inspiron', 'Dell Inspiron', 'Dell Inspiron', '1', '2022-08-25', 0, '40') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-08-25 03:42:24am "," update "," UPDATE product_details SET `product_name` = 'Dell Inspiron 3525 Laptop', `product_code` = '3525', `short_code` = 'dell-inspiron-3525-laptop', `short_description` = 'AMD Athlon Silver 3050U, Win 11 + MSO'21, 8GB GDDR4, 256Gb SSD, Radeon Graphics, 15.6"" (39.62Cms) HD Anti-Glare (D560766Win9Be, 1.68Kgs)', `description` = '<ul style='box-sizing: border-box; margin: 0px 0px 0px 18px; color: rgb(15, 17, 17); padding: 0px; font-family: ""Amazon Ember"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;'><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Processor: AMD Athlon Silver 3050U (2.30 GHz up to 3.20 GHz)</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">RAM &amp; Storage: 8GB DDR4 (2 DIMM Slots) &amp; 256GB SSD</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Display: 15.6"" HD AG Narrow Border</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Software: Win 11 + Office H&amp;S 2021</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Ports: 2 USB 3.2 Gen 1 ports, 1 USB 2.0 port, 1 Headset jack, 1 HDMI 1.4 port*, 1 SD 3.0 card slot</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">WiFi &amp; BT: 802.11ac 1x1 WiFi and Bluetooth</span></li></ul>', `brand_id` = '1', `category_id` = '1', `child_category` = '', `vendor_id` = '1', `mrp_price` = '46236', `discount` = '32', `net_price` = '37099.2', `tax` = '18', `qty` = '', `gst_amt` = 6677.856, `discount_amt` = '32'_amt, `cover_img` = '', `stock` = '20', `meta_title` = 'Dell Inspiron', `meta_keyword` = 'Dell Inspiron', `meta_description` = 'Dell Inspiron', `modified_by` = '1', `modified` = '2022-08-25 03:42:24', `is_active` = 1 WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/2"
"2022-08-25 03:42:35am "," update "," UPDATE product_details SET `image` = '51PJUEVjLqL._SX679_.jpg|61IjsbYEu7L._SX679_.jpg|61IYtAceS1L._SX679_.jpg|bird-1232416.png|car-967387.png|img.jpg|raju-sharma-0gbnZU9KwBA-unsplash.jpg' WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/2"
"2022-08-25 03:54:03am "," update "," UPDATE product_details SET `product_name` = 'Dell Inspiron 3525 Laptop', `product_code` = '3525', `short_code` = 'dell-inspiron-3525-laptop', `short_description` = 'AMD Athlon Silver 3050U, Win 11 + MSO'21, 8GB GDDR4, 256Gb SSD, Radeon Graphics, 15.6"" (39.62Cms) HD Anti-Glare (D560766Win9Be, 1.68Kgs)', `description` = '<ul style='box-sizing: border-box; margin: 0px 0px 0px 18px; color: rgb(15, 17, 17); padding: 0px; font-family: ""Amazon Ember"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;'><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Processor: AMD Athlon Silver 3050U (2.30 GHz up to 3.20 GHz)</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">RAM &amp; Storage: 8GB DDR4 (2 DIMM Slots) &amp; 256GB SSD</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Display: 15.6"" HD AG Narrow Border</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Software: Win 11 + Office H&amp;S 2021</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">Ports: 2 USB 3.2 Gen 1 ports, 1 USB 2.0 port, 1 Headset jack, 1 HDMI 1.4 port*, 1 SD 3.0 card slot</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17);"">WiFi &amp; BT: 802.11ac 1x1 WiFi and Bluetooth</span></li></ul>', `brand_id` = '1', `category_id` = '1', `child_category` = '9', `vendor_id` = '1', `mrp_price` = '46236', `discount` = '32', `net_price` = '37099.2', `tax` = '18', `qty` = '', `gst_amt` = 6677.856, `discount_amt` = '32'_amt, `cover_img` = 'cover_image.jpg', `stock` = '40', `meta_title` = 'Dell Inspiron', `meta_keyword` = 'Dell Inspiron', `meta_description` = 'Dell Inspiron', `modified_by` = '1', `modified` = '2022-08-25 03:54:03', `is_active` = 1 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/1"
"2022-08-25 03:54:03am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('1', 2, '10', '2022-08-25 03:54:03') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/1"
"2022-08-25 03:54:03am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('1', 8, '63', '2022-08-25 03:54:03') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/1"
"2022-08-25 03:54:03am "," update "," UPDATE product_details SET `image` = '51PJUEVjLqL._SX679_.jpg|61IjsbYEu7L._SX679_.jpg|61IYtAceS1L._SX679_.jpg' WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/1"
