"2022-09-29 01:56:40am "," update "," UPDATE product_details SET `product_name` = 'Allen Solly Yellow Womens Regular fit T-Shirt', `product_code` = 'Product-03', `short_code` = 'allen-solly-yellow-womens-regular-fit-t-shirt', `short_description` = 'Allen Solly Women's Regular fit T-Shirt', `description` = '<ul><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Care Instructions: Machine Wash</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Fit Type: regular fit</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Occasion : Casual</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Fit : Regular Fit</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Material : 95% Cotton and 5% Elastane</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Neck : Polo Neck</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Pattern : Textured</span></li></ul>', `brand_id` = '12', `category_id` = '59', `child_category` = '64', `vendor_id` = '1', `unit_price` = '1199', `mrp_price` = 1343, `discount` = '50', `net_price` = 672, `tax` = '12', `qty` = '', `gst_amt` = 143.88, `discount_amt` = '50'_amt, `cover_img` = 'cover_image.jpg', `stock` = '100', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = 'Regular fit T-Shirt', `meta_keyword` = 'Regular fit T-Shirt', `meta_description` = 'Regular fit T-Shirt', `modified_by` = '1', `modified` = '2022-09-29 01:56:40', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '9' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/9"
"2022-09-29 01:56:53am "," update "," UPDATE product_details SET `image` = '71ZNyHI8DGL._SX522._SX._UX._SY._UY_.jpg|81lMlzL6oaL._SX522._SX._UX._SY._UY_.jpg|81U7oUSUhJL._SX522._SX._UX._SY._UY_.jpg|91ePds0EXrL._SX522._SX._UX._SY._UY_.jpg|91IME0Jo+jL._SX522._SX._UX._SY._UY_.jpg' WHERE 1=1  and product_id = '8' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/8"
"2022-09-29 01:57:07am "," update "," UPDATE product_details SET `product_name` = 'Allen Solly Pink Womens Regular fit T-Shirt', `product_code` = 'Product-05', `short_code` = 'allen-solly-pink-womens-regular-fit-t-shirt', `short_description` = 'Allen Solly Women's Regular fit T-Shirt', `description` = '<ul><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Care Instructions: Machine Wash</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Fit Type: regular fit</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Occasion : Casual</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Fit : Regular Fit</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Material : 95% Cotton and 5% Elastane</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Neck : Polo Neck</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Pattern : Textured</span></li></ul>', `brand_id` = '12', `category_id` = '59', `child_category` = '64', `vendor_id` = '1', `unit_price` = '1099', `mrp_price` = 1231, `discount` = '50', `net_price` = 616, `tax` = '12', `qty` = '', `gst_amt` = 131.88, `discount_amt` = '50'_amt, `cover_img` = 'cover_image.jpg', `stock` = '100', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = 'Regular fit T-Shirt', `meta_keyword` = 'Regular fit T-Shirt', `meta_description` = 'Regular fit T-Shirt', `modified_by` = '1', `modified` = '2022-09-29 01:57:07', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/5"
"2022-09-29 01:57:07am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('5', 1, '1,2,3,4', '2022-09-29 01:57:07') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/5"
"2022-09-29 01:57:07am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('5', 2, '8', '2022-09-29 01:57:07') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/5"
"2022-09-29 01:57:07am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('5', 4, '35', '2022-09-29 01:57:07') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/5"
"2022-09-29 01:57:07am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('5', 5, '51', '2022-09-29 01:57:07') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/5"
"2022-09-29 01:57:07am "," update "," UPDATE product_details SET `image` = '71ZNyHI8DGL._SX522._SX._UX._SY._UY_.jpg|81lMlzL6oaL._SX522._SX._UX._SY._UY_.jpg|81U7oUSUhJL._SX522._SX._UX._SY._UY_.jpg|81xMej+Yg1L._SX522._SX._UX._SY._UY_.jpg|91ePds0EXrL._SX522._SX._UX._SY._UY_ (1).jpg|819fwBHyTDL._SX522._SX._UX._SY._UY_.jpg' WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/5"
"2022-09-29 01:57:24am "," update "," UPDATE product_details SET `product_name` = 'Allen Solly Yellow Womens Regular fit T-Shirt', `product_code` = 'Product-03', `short_code` = 'allen-solly-yellow-womens-regular-fit-t-shirt', `short_description` = 'Allen Solly Women's Regular fit T-Shirt', `description` = '<ul><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Care Instructions: Machine Wash</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Fit Type: regular fit</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Occasion : Casual</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Fit : Regular Fit</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Material : 95% Cotton and 5% Elastane</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Neck : Polo Neck</span></li><li style=""box-sizing: border-box; list-style: disc; overflow-wrap: break-word; margin: 0px;""><span style=""box-sizing: border-box; color: rgb(15, 17, 17); overflow-wrap: break-word; display: block;"">Pattern : Textured</span></li></ul>', `brand_id` = '12', `category_id` = '59', `child_category` = '64', `vendor_id` = '1', `unit_price` = '1099', `mrp_price` = 1231, `discount` = '50', `net_price` = 616, `tax` = '12', `qty` = '', `gst_amt` = 131.88, `discount_amt` = '50'_amt, `cover_img` = 'cover_image.jpg', `stock` = '100', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = 'Regular fit T-Shirt', `meta_keyword` = 'Regular fit T-Shirt', `meta_description` = 'Regular fit T-Shirt', `modified_by` = '1', `modified` = '2022-09-29 01:57:24', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '4' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/4"
"2022-09-29 01:57:24am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('4', 1, '1,2,3,4', '2022-09-29 01:57:24') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/4"
"2022-09-29 01:57:24am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('4', 2, '7', '2022-09-29 01:57:24') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/4"
"2022-09-29 01:57:24am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('4', 4, '35', '2022-09-29 01:57:24') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/4"
"2022-09-29 01:57:24am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('4', 5, '51', '2022-09-29 01:57:24') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/4"
"2022-09-29 01:57:24am "," update "," UPDATE product_details SET `image` = '81ba9TOk4mL._SX522._SX._UX._SY._UY_.jpg|81duyv-ifNL._SX522._SX._UX._SY._UY_.jpg|81pl8fnsE5L._SX522._SX._UX._SY._UY_.jpg|91EiZlO4hCL._SX522._SX._UX._SY._UY_.jpg|91MfCWLBI8L._SX522._SX._UX._SY._UY_.jpg' WHERE 1=1  and product_id = '4' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/4"
