"2022-11-20 00:42:06am "," update "," UPDATE category SET `child_category` = '65,66' WHERE 1=1  and category_id = '60' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/64"
"2022-11-20 00:42:45am "," update "," UPDATE category SET `child_category` = '69,70,71,68,67' WHERE 1=1  and category_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/67"
"2022-11-20 00:42:50am "," update "," UPDATE category SET `child_category` = '69,70,71,67' WHERE 1=1  and category_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/68"
"2022-11-20 00:42:50am "," update "," UPDATE category SET `category_name` = 'Shirts', `short_code` = 'men-shirts', `parent_category_id` = '61', `hierarchy` = '61,68', `element_id` = '', `description` = 'Shirts for Mens', `category_image` = 'mens_shirt.jfif', `modified_by` = '999', `modified` = '2022-11-20 00:42:50', `return_or_replace` = '', `return_replace_validity` = '0', `policy_covers` = '', `return_policy` = '', `is_active` = 1 WHERE 1=1  and category_id = '68' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/68"
"2022-11-20 00:42:50am "," update "," UPDATE category SET `child_category` = '69,70,71,67,68' WHERE 1=1  and category_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/68"
"2022-11-20 00:43:04am "," update "," UPDATE category SET `child_category` = '70,71,67,68' WHERE 1=1  and category_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/69"
"2022-11-20 00:43:04am "," update "," UPDATE category SET `category_name` = 'Jeans', `short_code` = 'men-jeans', `parent_category_id` = '61', `hierarchy` = '61,69', `element_id` = '', `description` = 'Jeans for Men', `category_image` = 'mens_jeans.webp', `modified_by` = '999', `modified` = '2022-11-20 00:43:04', `return_or_replace` = '', `return_replace_validity` = '0', `policy_covers` = '', `return_policy` = '', `is_active` = 1 WHERE 1=1  and category_id = '69' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/69"
"2022-11-20 00:43:04am "," update "," UPDATE category SET `child_category` = '70,71,67,68,69' WHERE 1=1  and category_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/69"
"2022-11-20 00:43:10am "," update "," UPDATE category SET `child_category` = '71,67,68,69' WHERE 1=1  and category_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/70"
"2022-11-20 00:43:10am "," update "," UPDATE category SET `category_name` = 'Sportswear', `short_code` = 'men-sportswear', `parent_category_id` = '61', `hierarchy` = '61,70', `element_id` = '', `description` = 'Sportswear for Mens', `category_image` = 'mens_vest.webp', `modified_by` = '999', `modified` = '2022-11-20 00:43:10', `return_or_replace` = '', `return_replace_validity` = '0', `policy_covers` = '', `return_policy` = '', `is_active` = 1 WHERE 1=1  and category_id = '70' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/70"
"2022-11-20 00:43:10am "," update "," UPDATE category SET `child_category` = '71,67,68,69,70' WHERE 1=1  and category_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/70"
"2022-11-20 00:43:20am "," update "," UPDATE category SET `child_category` = '73,74' WHERE 1=1  and category_id = '62' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/72"
"2022-11-20 00:43:20am "," update "," UPDATE category SET `category_name` = 'Tops & Tees', `short_code` = 'kids-tops-tees', `parent_category_id` = '62', `hierarchy` = '62,72', `element_id` = '', `description` = 'Tops & Tees', `category_image` = 'kids_tshirt.jpg', `modified_by` = '999', `modified` = '2022-11-20 00:43:20', `return_or_replace` = '', `return_replace_validity` = '0', `policy_covers` = '', `return_policy` = '', `is_active` = 1 WHERE 1=1  and category_id = '72' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/72"
"2022-11-20 00:43:20am "," update "," UPDATE category SET `child_category` = '73,74,72' WHERE 1=1  and category_id = '62' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/72"
"2022-11-20 00:43:22am "," update "," UPDATE category SET `child_category` = '74,72' WHERE 1=1  and category_id = '62' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/73"
"2022-11-20 00:43:22am "," update "," UPDATE category SET `category_name` = 'Bottom Wear', `short_code` = 'kids-bottom-wear', `parent_category_id` = '62', `hierarchy` = '62,73', `element_id` = '', `description` = 'Bottom Wear for Kids', `category_image` = 'baby_shorts.jfif', `modified_by` = '999', `modified` = '2022-11-20 00:43:22', `return_or_replace` = '', `return_replace_validity` = '0', `policy_covers` = '', `return_policy` = '', `is_active` = 1 WHERE 1=1  and category_id = '73' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/73"
"2022-11-20 00:43:22am "," update "," UPDATE category SET `child_category` = '74,72,73' WHERE 1=1  and category_id = '62' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/73"
"2022-11-20 00:43:24am "," update "," UPDATE category SET `child_category` = '72,73' WHERE 1=1  and category_id = '62' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/74"
"2022-11-20 00:43:24am "," update "," UPDATE category SET `category_name` = 'Winter Wear', `short_code` = 'kids-winter-wear', `parent_category_id` = '62', `hierarchy` = '62,74', `element_id` = '', `description` = 'Winter Wear', `category_image` = 'kids_jacket.webp', `modified_by` = '999', `modified` = '2022-11-20 00:43:24', `return_or_replace` = '', `return_replace_validity` = '0', `policy_covers` = '', `return_policy` = '', `is_active` = 1 WHERE 1=1  and category_id = '74' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/74"
"2022-11-20 00:43:24am "," update "," UPDATE category SET `child_category` = '72,73,74' WHERE 1=1  and category_id = '62' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/74"
"2022-11-20 00:43:46am "," update "," UPDATE category SET `child_category` = '67,68,69,70' WHERE 1=1  and category_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/71"
"2022-11-20 00:43:46am "," update "," UPDATE category SET `category_name` = 'Winter Wear', `short_code` = 'men-winter-wear', `parent_category_id` = '61', `hierarchy` = '61,71', `element_id` = '', `description` = 'Winter Wear for Men', `category_image` = 'mens_jacket.jpg', `modified_by` = '999', `modified` = '2022-11-20 00:43:46', `return_or_replace` = '', `return_replace_validity` = '0', `policy_covers` = '', `return_policy` = '', `is_active` = 1 WHERE 1=1  and category_id = '71' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/71"
"2022-11-20 00:43:46am "," update "," UPDATE category SET `child_category` = '67,68,69,70,71' WHERE 1=1  and category_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/71"
